review,aspect,context,sentiment,sentiment_score
Amazon responded immediately but forwarded to the supplier. Don't waste your money. It's a hand held wand that may or may not be infrared. Doesn't heat up to any degree that will be helpful. Still waiting to hear back from the supplier (two weeks now) to return this item. Know someone who has the EXACT same item and paid $10.... Enough said,Price / Value,Don't waste your money,Negative,0.9998036688361206
I would have given it zero stars if possible. This is the worst cd I have ever listened to. The quality of the recordings are so bad that it hurts your ears to listen to it. This has the sound of the worst bootleg recordings I have ever heard. What a waste of money. This is the only cd that I have bought that I was actually unable to listen to. Talk about a sham by some corporate execs trying to make some money off of a dead guy.,Build Quality,The quality of the recordings are so bad that it hurts your ears to listen to it,Negative,0.9999502251997987
I would have given it zero stars if possible. This is the worst cd I have ever listened to. The quality of the recordings are so bad that it hurts your ears to listen to it. This has the sound of the worst bootleg recordings I have ever heard. What a waste of money. This is the only cd that I have bought that I was actually unable to listen to. Talk about a sham by some corporate execs trying to make some money off of a dead guy.,Price / Value,What a waste of money ... Talk about a sham by some corporate execs trying to make some money off of a dead guy,Negative,0.999999999999583
"I bought this only because as a fan, I want all of their material. First off, you'll notice the disc length of 76.46. The band added a keyboard player Graham Maitland for this tour which at first is a bit hard to digest(mixed too far up front)sometimes the keyboards work, other times not. There are some classics here- 'The king will come', 'Persephone', 'Time Was' as well as a few others. Sound quality is average, sounds like a straight transfer with no doctoring with the sound. This is the Mark 2 lineup with Laurie Wisefield. Not one of the best concert offerings by the band but worthwhile. I'm sure the band has some real gems in their archive like the live tracks on the superb 'Distillation' box set. Sadly they are not contained on this disc. If you can get past the keyboards and the muddy sound quality, you may enjoy it. Somehow I feel only the true fans will want this disc in their collection.",Build Quality,"I bought this only because as a fan, I want all of their material ... Sound quality is average, sounds like a straight transfer with no doctoring with the sound ... If you can get past the keyboards and the muddy sound quality, you may enjoy it",Negative,0.5060755715557472
"I bought this only because as a fan, I want all of their material. First off, you'll notice the disc length of 76.46. The band added a keyboard player Graham Maitland for this tour which at first is a bit hard to digest(mixed too far up front)sometimes the keyboards work, other times not. There are some classics here- 'The king will come', 'Persephone', 'Time Was' as well as a few others. Sound quality is average, sounds like a straight transfer with no doctoring with the sound. This is the Mark 2 lineup with Laurie Wisefield. Not one of the best concert offerings by the band but worthwhile. I'm sure the band has some real gems in their archive like the live tracks on the superb 'Distillation' box set. Sadly they are not contained on this disc. If you can get past the keyboards and the muddy sound quality, you may enjoy it. Somehow I feel only the true fans will want this disc in their collection.",Delivery / Packaging,I'm sure the band has some real gems in their archive like the live tracks on the superb 'Distillation' box set,Positive,0.9812439879563694
"I have been taking two capsules daily for two months and not felt or seen one difference in my health. This hasn't been the miracle pill to help cure my PCOS or help my ovulate. In fact, I had a period before I started this pill and not one since.",Customer Support,This hasn't been the miracle pill to help cure my PCOS or help my ovulate,Negative,0.8592798524619337
"I don't quite understand why Courtney is allowed to put these things out, and even more surprised that the other members agreed to it (since they have to). Everyone who already put out the 50 bucks for the box gets a whole three song bonus, songs which don't even sound like anything special. Nirvana was an awesome band who made some of the greatest music of all time, and this CD does reflect that. It's a good CD, but it's useless. It's nothing we don't already have. If they're going to put more Nirvana stuff out, it should at least be stuff we haven't heard. Just buy the three songs off of iTunes or something and save yourself the money from buying this CD.",Delivery / Packaging,"Everyone who already put out the 50 bucks for the box gets a whole three song bonus, songs which don't even sound like anything special",Negative,0.61171248062064
"I don't quite understand why Courtney is allowed to put these things out, and even more surprised that the other members agreed to it (since they have to). Everyone who already put out the 50 bucks for the box gets a whole three song bonus, songs which don't even sound like anything special. Nirvana was an awesome band who made some of the greatest music of all time, and this CD does reflect that. It's a good CD, but it's useless. It's nothing we don't already have. If they're going to put more Nirvana stuff out, it should at least be stuff we haven't heard. Just buy the three songs off of iTunes or something and save yourself the money from buying this CD.",Price / Value,Just buy the three songs off of iTunes or something and save yourself the money from buying this CD,Positive,0.9886838369267887
My husband loves this book. He said he has learned so much and that this was the best book to learn how to build a timber frame house by.,Build Quality,He said he has learned so much and that this was the best book to learn how to build a timber frame house by,Positive,0.995662528473063
"This is one of the worst books ever. It tries to capitalize on the Chicken Soup for the Soul-type, void of any substance stories. This was not written by the author and takes advantage of people around her by publishing stories from them. With no new insight, Samira, a strictly amateur writer, doesn't contribute anything. Fortunately, it's by a vanity publisher and the only people who buy it are her friends (who posted here from ""Grand Blanc"" and ""Michigan"" because Samira asked them to) and a few people who found it online. Please people, avoid this book, buy something that will be worth your time and money.",Price / Value,"Please people, avoid this book, buy something that will be worth your time and money",Negative,0.9999987148697471
"I just don't get it - SOULWAX has been around since the 90s, when they released their ""rock"" debut (on the now defunct Almo Sounds), chock full of should-have-been radio hits, and then when while they got some attention for their ""2 Many DJs"" mash-up/remix bootlegs, when they return to a full-fledged band, as with last year's ANY MINUTE NOW, critcs & consumers alike barely took notice of that album's amazing writing, production, and sheer electro-rock power. Hopefully, ""Nite Versions"" (a cheeky title recalling when 80s bands like Duran Duran used to release ""Nite Version"" on 12"" of singles for clubs) will garner more sales and attention for SOULWAX - the songs practically leap out of the speakers to grab your neck and turn you head and make you move. Can't wait to hear what they do TIGA on his upcoming ""Sexor"" debut...?",Battery,"they got some attention for their ""2 Many DJs"" mash-up/remix bootlegs, when they return to a full-fledged band, as with last year's ANY MINUTE NOW, critcs & consumers alike barely took notice of that album's amazing writing, production, and sheer electro-rock power",Positive,0.9999937948718293
"This novel is absolutely awful. Although it has received over 500 reviews I feel it is my duty to help bring the average star level to where it belongs, at zero. Where to begin... perhaps with the run on sentences, the failure to create significant rising action, the flat two dimensional characters... This novel is full of things which not only bore the reader, but frustrate them as well.The fatal flaw in this piece of literature is its inability to stay relevant. Post-modern society does not really care about, ""Baby daddies,"" and the revelation which is made at the end, and beginning, of this novel is reproduced daily on morning television a la Maury. Unfortunately, Nathaniel Hawthorn you are the father of this literary disaster.",Customer Support,"it has received over 500 reviews I feel it is my duty to help bring the average star level to where it belongs, at zero",Negative,0.998992404238519
"I looked everywhere for a nice, simple design. I must have browsed hundreds of different styles. Anchor Hocking's Bolera set is just right - simple but not obviously.The glass is just wide enough for cleaning thoroughly by hand and the bottom has a nice weight to it as well - not easy to knock over. The sides aren't terribly fragile, but they're not uncommonly sturdy either. I have broken a few.",Build Quality,"I looked everywhere for a nice, simple design",Positive,0.9850440176777698
